event_id,user_id,event_type,event_date,product_id,amount,traffic_source
7343,4431,page_view,2025-12-30 08:16:15.732931 UTC,101,,email
7344,4431,add_to_cart,2025-12-30 08:24:15.732931 UTC,101,,email
7345,4431,checkout_start,2025-12-30 08:31:15.732931 UTC,101,,email
7346,4431,payment_info,2025-12-30 08:38:15.732931 UTC,101,,email
7347,4431,purchase,2025-12-30 08:41:15.732931 UTC,101,125.38,email
10185,5898,page_view,2025-12-30 23:23:57.811630 UTC,101,,email
10186,5898,add_to_cart,2025-12-30 23:40:57.811630 UTC,101,,email
10187,5898,checkout_start,2025-12-30 23:45:57.811630 UTC,101,,email
10188,5898,payment_info,2025-12-30 23:53:57.811630 UTC,101,,email
10189,5898,purchase,2025-12-30 23:58:57.811630 UTC,101,24.7,email
9517,5557,page_view,2025-12-31 00:01:51.273685 UTC,101,,email
10323,5970,page_view,2025-12-31 05:28:32.791541 UTC,101,,email
10324,5970,add_to_cart,2025-12-31 05:39:32.791541 UTC,101,,email
10325,5970,checkout_start,2025-12-31 05:47:32.791541 UTC,101,,email
10326,5970,payment_info,2025-12-31 05:52:32.791541 UTC,101,,email
10327,5970,purchase,2025-12-31 05:53:32.791541 UTC,101,41.24,email
5518,3440,page_view,2025-12-31 06:13:43.566324 UTC,101,,email
4661,2954,page_view,2025-12-31 12:14:09.265402 UTC,101,,email
3407,2304,page_view,2025-12-31 15:01:11.473032 UTC,101,,email
6714,4100,page_view,2025-12-31 23:20:43.439794 UTC,101,,email
6715,4100,add_to_cart,2025-12-31 23:22:43.439794 UTC,101,,email
1532,1297,page_view,2026-01-02 04:12:03.599362 UTC,101,,email
1045,1025,page_view,2026-01-03 14:08:59.421937 UTC,101,,email
7051,4295,page_view,2026-01-04 03:20:43.449278 UTC,101,,email
3158,2175,page_view,2026-01-04 03:43:03.817289 UTC,101,,email
3159,2175,add_to_cart,2026-01-04 03:51:03.817289 UTC,101,,email
3160,2175,checkout_start,2026-01-04 03:58:03.817289 UTC,101,,email
3161,2175,payment_info,2026-01-04 04:04:03.817289 UTC,101,,email
4050,2642,page_view,2026-01-04 04:58:40.654315 UTC,101,,email
4051,2642,add_to_cart,2026-01-04 05:09:40.654315 UTC,101,,email
4052,2642,checkout_start,2026-01-04 05:19:40.654315 UTC,101,,email
5295,3315,page_view,2026-01-04 07:24:26.282755 UTC,101,,email
5296,3315,add_to_cart,2026-01-04 07:37:26.282755 UTC,101,,email
5297,3315,checkout_start,2026-01-04 07:41:26.282755 UTC,101,,email
5298,3315,payment_info,2026-01-04 07:48:26.282755 UTC,101,,email
5299,3315,purchase,2026-01-04 07:49:26.282755 UTC,101,77.74,email
6284,3866,page_view,2026-01-04 16:19:51.866951 UTC,101,,email
5070,3186,page_view,2026-01-04 18:02:45.972087 UTC,101,,email
5071,3186,add_to_cart,2026-01-04 18:10:45.972087 UTC,101,,email
5072,3186,checkout_start,2026-01-04 18:13:45.972087 UTC,101,,email
3968,2600,page_view,2026-01-05 01:35:30.499496 UTC,101,,email
8348,4950,page_view,2026-01-05 12:41:33.784340 UTC,101,,email
8349,4950,add_to_cart,2026-01-05 12:44:33.784340 UTC,101,,email
8350,4950,checkout_start,2026-01-05 12:49:33.784340 UTC,101,,email
8351,4950,payment_info,2026-01-05 12:53:33.784340 UTC,101,,email
9363,5482,page_view,2026-01-05 14:13:15.500553 UTC,101,,email
9364,5482,add_to_cart,2026-01-05 14:20:15.500553 UTC,101,,email
9900,5755,page_view,2026-01-05 18:57:23.533018 UTC,101,,email
9901,5755,add_to_cart,2026-01-05 19:02:23.533018 UTC,101,,email
9902,5755,checkout_start,2026-01-05 19:03:23.533018 UTC,101,,email
9903,5755,payment_info,2026-01-05 19:09:23.533018 UTC,101,,email
9904,5755,purchase,2026-01-05 19:10:23.533018 UTC,101,20.44,email
4270,2756,page_view,2026-01-05 22:43:49.436562 UTC,101,,email
4271,2756,add_to_cart,2026-01-05 22:50:49.436562 UTC,101,,email
4272,2756,checkout_start,2026-01-05 23:00:49.436562 UTC,101,,email
4273,2756,payment_info,2026-01-05 23:02:49.436562 UTC,101,,email
4274,2756,purchase,2026-01-05 23:06:49.436562 UTC,101,97.33,email
9609,5601,page_view,2026-01-07 02:12:01.361838 UTC,101,,email
1607,1345,page_view,2026-01-10 11:16:07.609791 UTC,101,,email
1608,1345,add_to_cart,2026-01-10 11:27:07.609791 UTC,101,,email
1609,1345,checkout_start,2026-01-10 11:30:07.609791 UTC,101,,email
6421,3940,page_view,2026-01-12 01:05:36.537424 UTC,101,,email
6422,3940,add_to_cart,2026-01-12 01:18:36.537424 UTC,101,,email
6423,3940,checkout_start,2026-01-12 01:26:36.537424 UTC,101,,email
3519,2366,page_view,2026-01-12 09:35:57.680139 UTC,101,,email
2012,1537,page_view,2026-01-12 13:21:59.220488 UTC,101,,email
2013,1537,add_to_cart,2026-01-12 13:39:59.220488 UTC,101,,email
2014,1537,checkout_start,2026-01-12 13:45:59.220488 UTC,101,,email
2015,1537,payment_info,2026-01-12 13:52:59.220488 UTC,101,,email
2016,1537,purchase,2026-01-12 13:55:59.220488 UTC,101,130.43,email
10209,5912,page_view,2026-01-12 15:39:53.771793 UTC,101,,email
10210,5912,add_to_cart,2026-01-12 15:57:53.771793 UTC,101,,email
10211,5912,checkout_start,2026-01-12 16:05:53.771793 UTC,101,,email
10212,5912,payment_info,2026-01-12 16:07:53.771793 UTC,101,,email
10213,5912,purchase,2026-01-12 16:08:53.771793 UTC,101,20.18,email
1683,1380,page_view,2026-01-12 16:54:41.503227 UTC,101,,email
1684,1380,add_to_cart,2026-01-12 17:11:41.503227 UTC,101,,email
1685,1380,checkout_start,2026-01-12 17:15:41.503227 UTC,101,,email
1686,1380,payment_info,2026-01-12 17:23:41.503227 UTC,101,,email
